user_id,x,y,is_representative,cluster
1,-0.013912143002765606,0.0010532532048493307,1,14
2,0.05844792620766778,-0.06105311086554279,1,10
3,0.07113142442081531,-0.019944602841974676,1,21
5,-0.03603311392627199,0.005557938107558291,1,7
6,-0.007093862020818396,0.024646430367805915,1,11
7,0.14494337880050967,-0.031021548779814646,0,21
8,0.06690227700455259,-0.011031685575645968,1,20
9,-0.06754074602641277,0.049715136710592384,0,11
10,0.008297026152398749,0.013645886133216977,0,20
11,0.005614516986062086,0.062021620494095375,1,13
13,0.05964996465758609,0.03960807891531448,1,15
15,-0.0092886203738651,-0.02697322103063582,1,9
17,0.003416135925138886,0.05282674984718937,0,14
18,0.047488233914217734,0.04712299329028231,0,15
19,0.0020776847302313817,0.046855746615116364,1,4
22,0.09665793169483455,-0.03799168092820182,0,21
23,0.10485122856380945,0.08789484299856426,1,0
24,0.009454597290780985,0.11785240939054323,0,13
25,0.05562848630802506,-0.036779713741387304,0,10
26,0.058506539539471575,-0.026291414573402287,0,20
27,-0.09901488492171094,-0.06537024057627115,1,12
28,-0.0498268416500361,-0.035972250991340694,1,18
29,0.10136535291723478,-0.04501552473775823,1,5
30,-0.02429925641014159,-0.07290998091576534,0,9
31,-0.09577179371077493,0.2424291641539438,1,17
32,0.03869635149072597,-0.0723161515911518,0,10
33,0.0019276462917951155,0.020084893801707998,0,14
34,0.07274797773707631,-0.03304173401024315,0,10
35,-0.1167808897178263,-0.06364486784519223,0,12
36,-0.07320453408560418,0.028575538433393558,0,11
37,-0.0915411473865198,0.06391454535438094,0,11
38,-0.06911772437161895,0.018849335966964875,0,11
39,0.03541440754352042,-0.012152793861442914,0,20
40,0.19273541985206571,-0.025383489918845287,1,6
42,0.025051426716502515,0.02797621872194895,0,14
43,-0.03343825819536015,-0.010139287241865823,0,9
44,0.058661219706377596,-0.055399551178998,0,5
45,-0.12212111073460655,0.10983255392392652,0,11
46,0.15250462128501938,-0.0020956265684239214,0,21
48,-0.15019751210394697,0.06130178371239654,1,3
49,0.10312468072544963,-0.010147705523041296,0,21
51,-0.022126917899461855,0.00907601017258417,0,7
52,0.13519891223558264,-0.00936659267327825,0,6
53,-0.08739036655611246,0.1892075999959473,0,17
54,-0.10583842984948934,0.03726785074876265,0,11
56,-0.04662100384092181,0.0749049678298853,0,11
57,0.004267212743132314,0.036084982656806514,0,4
58,0.015065780815040649,0.14182170595036042,1,2
59,-0.08101107206225856,-0.012443340569511073,0,18
60,0.21747667147493258,-0.0390184703490949,0,6
62,-0.17741043288653816,-0.07337201492305476,1,1
63,-0.002090867749059463,0.021239213624372654,0,7
64,0.04163722170598298,0.012737968850963217,0,4
65,-0.02941709864495268,-0.06825213661498974,0,9
67,-0.15185162652298756,-0.1260069561640503,0,1
68,-0.10536873990426412,0.14564510307284423,0,17
69,-0.06893568386339738,-0.041343703600481625,0,7
70,-0.026149915619405537,0.055533401308863965,0,11
72,-0.08396214171837774,-0.04627831998127989,0,9
73,0.013170560884716393,-0.015889914822191636,0,20
74,-0.12310974710996701,-0.050371657860982307,1,19
75,0.13410197784615321,0.05861130892128185,0,0
76,0.031045940990840428,0.10587871780552076,0,2
78,-0.03539396542735675,0.08657108454453515,0,13
80,-0.013757087369151114,-0.09075505741854831,0,9
81,-0.15594464077321585,-0.0681370266088565,0,1
82,0.0633520253564015,-0.007810085244874016,0,5
83,0.09939781946683438,-0.019510546059834887,0,21
